common_name,scientific_name,height_asymptote_m,height_shape_k_cm,size_class,crown_group,crown_method,confidence,reference_basis,limitation,source_url
AMENDOIM DO CAMPO,Platypodium elegans,18,40,Médio porte,broad,dbh_scaled,medium,Porte adulto de referência próximo ao limite superior descrito para Platypodium elegans.,H∞=18 m é um parâmetro de modelagem; não representa máximo absoluto.,https://www.infoteca.cnptia.embrapa.br/bitstream/doc/571747/1/art019.pdf
ANGICO BRANCO,Anadenanthera colubrina,25,45,Grande porte,broad,dbh_scaled,medium,Porte adulto potencial inferido de ficha técnica e coleção de espécies arbóreas brasileiras.,Pode superestimar árvores urbanas podadas ou em sítio restritivo.,https://www.embrapa.br/en/busca-de-publicacoes/-/publicacao/1103448/anadenanthera-colubrina-angico
COPAÍBA,Copaifera langsdorffii,22,50,Grande porte,intermediate,dbh_scaled,medium,Valor intermediário entre alturas observadas em plantios e o porte potencial de árvores adultas.,"H∞=22 m é referência operacional, não dimensão normativa.",https://www.infoteca.cnptia.embrapa.br/bitstream/doc/697216/1/bolpd245.pdf
IPÊ BRANCO,Tabebuia roseoalba,15,35,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
IPÊ AMARELO,Handroanthus albus,15,35,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
FICUS,Ficus benjamina,18,45,Médio porte,broad,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
COLORAL,Bixa orellana,8,20,Pequeno porte,compact,dbh_scaled,medium,Porte adulto típico/potencial consultado em Carvalho/Embrapa e Lorenzi.,"H∞ é uma referência para a curva, não um padrão normativo.",https://www.embrapa.br/web/florestas/publicacoes/especies-arboreas-brasileiras
ACÁCIA MIMOSA,Acacia podalyriifolia,12,30,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
AMEIXA ASSÍRIA,Cordia myxa,15,35,Médio porte,intermediate,dbh_scaled,medium,Porte adulto típico consultado em literatura de árvores exóticas e cultivadas.,"O porte urbano varia com cultivar, poda, manejo e condições do sítio.",https://www.plantarum.com.br/produtos/livro-arvores-e-arvoretas-exoticas-no-brasil-6v4jt/
PATA DE VACA,Bauhinia sp.,10,25,Pequeno porte,intermediate,dbh_scaled,low,"Referência genérica de gênero ou família, pois a identificação do projeto é incompleta.",Baixa confiabilidade; confirmar a espécie botânica.,https://www.plantarum.com.br/produtos/colecao-arvores-brasileiras/
